,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
133,BYU,2018-03-11,2020-01-18,678,Sunday,952547,GBP,74897,499997,893955,0.14979489876939261,11.935791820767188,1.7879207275243651,20-25,M,longmichelle,sandersronald@yahoo.com,Gina Moreno,F,57
134,KTR,2018-04-22,2019-02-25,309,Sunday,664371,EUR,32597,500000,97090,0.065194,2.9784949535233305,0.19418,20-25,F,longmichelle,sandersronald@yahoo.com,Gina Moreno,F,57
135,BYU,2018-03-16,2020-02-03,689,Friday,191550,GBP,59177,500001,138039,0.11835376329247342,2.332646129408385,0.2760774478451043,30-40,F,longmichelle,sandersronald@yahoo.com,Gina Moreno,F,57
136,AKX,2018-10-14,2020-02-21,495,Sunday,942515,USD,40878,499998,200003,0.0817563270253081,4.89268065952346,0.40000760003040015,35-40,F,longmichelle,sandersronald@yahoo.com,Gina Moreno,F,57
137,BYU,2018-06-03,2019-07-07,399,Sunday,355839,EUR,33056,499999,102982,0.06611213222426444,3.1153799612778315,0.20596441192882387,35-60,M,longmichelle,sandersronald@yahoo.com,Gina Moreno,F,57
138,BYU,2018-01-06,2020-01-05,729,Saturday,387796,GBP,64074,499999,83382,0.12814825629651258,1.3013390766925743,0.16676433352866707,35-45,M,jenniferwatson,marissarodriguez@hotmail.com,Andrea Lee,F,44
139,GRZ,2019-08-10,2021-05-08,637,Saturday,345260,USD,93178,499999,305233,0.18635637271274544,3.2758054476378544,0.6104672209344418,40-60,M,jenniferwatson,marissarodriguez@hotmail.com,Andrea Lee,F,44
140,KTR,2019-06-24,2020-02-04,225,Monday,395861,EUR,52817,500000,19691,0.105634,0.37281557074426797,0.039382,35-45,M,jenniferwatson,marissarodriguez@hotmail.com,Andrea Lee,F,44
141,KTR,2018-04-13,2019-06-23,436,Friday,859034,GBP,59061,500001,444225,0.11812176375647249,7.521460862498095,0.8884482231035538,40-60,F,jenniferwatson,marissarodriguez@hotmail.com,Andrea Lee,F,44
142,GRZ,2018-04-17,2019-12-07,599,Tuesday,409027,GBP,27444,500002,234237,0.0548877804488782,8.535089637079142,0.4684721261114956,30-50,F,jenniferwatson,marissarodriguez@hotmail.com,Andrea Lee,F,44
143,KTR,2019-03-16,2020-08-16,519,Saturday,494114,GBP,75274,499998,409167,0.15054860219440877,5.435701570263305,0.8183372733490933,30-40,F,jenniferwatson,marissarodriguez@hotmail.com,Andrea Lee,F,44
144,BYU,2020-02-20,2021-09-02,560,Thursday,498497,USD,41031,500001,276719,0.08206183587632825,6.744144671102338,0.5534368931262138,30-45,B,jenniferwatson,marissarodriguez@hotmail.com,Andrea Lee,F,44
145,KTR,2018-08-13,2019-03-26,225,Monday,83365,EUR,81191,500001,57608,0.16238167523664954,0.7095367713170179,0.11521576956846086,30-55,M,jenniferwatson,marissarodriguez@hotmail.com,Andrea Lee,F,44
146,AKX,2019-04-23,2020-09-30,526,Tuesday,218036,USD,57537,500000,206324,0.115074,3.5859360063958845,0.412648,35-45,B,billyali,angelanderson@hotmail.com,Cory Ramirez,M,40
147,BYU,2020-02-16,2020-01-11,-36,Sunday,955638,USD,21451,500003,188381,0.04290174258954446,8.781921588737122,0.3767597394415633,20-25,F,billyali,angelanderson@hotmail.com,Cory Ramirez,M,40
148,KTR,2020-03-01,2020-02-07,-23,Sunday,195452,EUR,32656,500002,163475,0.06531173875304498,5.005971337579618,0.3269486922052312,20-30,M,billyali,angelanderson@hotmail.com,Cory Ramirez,M,40
149,AKX,2019-10-13,2020-06-14,245,Sunday,620692,GBP,45412,499996,461124,0.09082472659781278,10.154232361490354,0.9222553780430244,40-50,M,billyali,angelanderson@hotmail.com,Cory Ramirez,M,40
150,GRZ,2018-09-18,2018-09-23,5,Tuesday,494261,EUR,25685,499999,477791,0.05137010274020548,18.60194666147557,0.9555839111678224,25-40,M,billyali,angelanderson@hotmail.com,Cory Ramirez,M,40
151,BYU,2020-02-14,2021-02-05,357,Friday,531230,EUR,19022,499998,516499,0.038044152176608705,27.15271790558301,1.033002132008528,20-30,B,billyali,angelanderson@hotmail.com,Cory Ramirez,M,40
152,BYU,2018-11-03,2019-07-13,252,Saturday,867487,EUR,18169,500001,499872,0.03633792732414535,27.512356211128846,0.9997420005159989,20-30,B,billyali,angelanderson@hotmail.com,Cory Ramirez,M,40
153,KTR,2018-08-17,2019-03-05,200,Friday,404925,GBP,28985,499999,394836,0.05797011594023188,13.622080386406763,0.7896735793471586,20-30,B,awilliams,joneal@gmail.com,Sergio Moon,M,58
154,AKX,2020-01-22,2020-10-24,276,Wednesday,145796,USD,39489,499997,38139,0.07897847387084322,0.9658132644533921,0.07627845767074602,35-55,F,awilliams,joneal@gmail.com,Sergio Moon,M,58
155,AKX,2018-06-21,2019-02-26,250,Thursday,610540,USD,35279,500003,260765,0.07055757665454007,7.391507695796366,0.5215268708387749,35-60,B,awilliams,joneal@gmail.com,Sergio Moon,M,58
156,BYU,2019-06-03,2020-05-09,341,Monday,777243,EUR,86724,499997,232168,0.17344904069424416,2.677090540104239,0.4643387860327162,40-55,M,jennadecker,bwright@brown.net,Scott Gentry,M,30
157,AKX,2019-12-22,2020-12-09,353,Sunday,216270,EUR,16890,500001,113998,0.03377993244013512,6.749437537004145,0.22799554400891198,40-45,M,jennadecker,bwright@brown.net,Scott Gentry,M,30
158,GRZ,2020-02-14,2020-06-10,117,Friday,673315,EUR,65971,500000,134111,0.131942,2.032878082793955,0.268222,25-40,B,jennadecker,bwright@brown.net,Scott Gentry,M,30
159,KTR,2020-01-23,2021-04-05,438,Thursday,84851,EUR,63935,500003,69867,0.1278692327846033,1.0927817314459998,0.1397331616010304,20-30,B,jennadecker,bwright@brown.net,Scott Gentry,M,30
160,BYU,2018-08-11,2019-10-25,440,Saturday,839571,EUR,29344,500002,140796,0.058687765248939004,4.798118865866957,0.2815908736365055,40-55,B,jennadecker,bwright@brown.net,Scott Gentry,M,30
161,GRZ,2020-01-21,2020-12-02,316,Tuesday,187391,USD,5973,499998,136462,0.011946047784191137,22.846475807801774,0.27292509170036683,40-60,M,jennadecker,bwright@brown.net,Scott Gentry,M,30
162,AKX,2019-10-23,2020-05-05,195,Wednesday,815007,EUR,11961,500003,392277,0.023921856468861188,32.79633809882117,0.7845492927042438,40-45,F,jennadecker,bwright@brown.net,Scott Gentry,M,30
163,GRZ,2018-05-24,2018-07-19,56,Thursday,592906,USD,15204,500002,548294,0.030407878368486525,36.062483556958696,1.0965836136655454,35-50,B,jennadecker,bwright@brown.net,Scott Gentry,M,30
164,KTR,2018-03-16,2018-06-30,106,Friday,172585,EUR,64679,499998,53303,0.12935851743406973,0.8241160191097574,0.1066064264257057,35-40,F,uthompson,darlene19@carpenter-abbott.org,Joshua Harris,M,42
165,GRZ,2018-04-20,2018-08-20,122,Friday,755711,EUR,13970,500001,375992,0.02793994412011176,26.914244810307803,0.7519824960350079,25-30,F,uthompson,darlene19@carpenter-abbott.org,Joshua Harris,M,42
166,BYU,2019-12-21,2021-09-27,646,Saturday,794832,GBP,45076,500000,736340,0.090152,16.335522229124145,1.47268,20-40,B,uthompson,darlene19@carpenter-abbott.org,Joshua Harris,M,42
167,KTR,2018-03-11,2019-03-09,363,Sunday,618982,GBP,55581,499998,528970,0.1111624446497786,9.51710116766521,1.0579442317769272,25-35,M,uthompson,darlene19@carpenter-abbott.org,Joshua Harris,M,42
168,BYU,2018-07-06,2019-05-20,318,Friday,718300,GBP,35323,499999,420148,0.07064614129228258,11.894459700478441,0.8402976805953611,20-35,B,diazchristine,brian87@adams-martin.com,Jacob Williams,M,39
169,AKX,2019-08-16,2021-07-22,706,Friday,550625,EUR,46426,500002,296276,0.09285162859348563,6.381682677809848,0.5925496298014808,35-55,B,diazchristine,brian87@adams-martin.com,Jacob Williams,M,39
170,GRZ,2018-04-14,2018-09-05,144,Saturday,775480,USD,46940,500001,361214,0.09387981224037552,7.695227950575203,0.7224265551468897,30-45,B,diazchristine,brian87@adams-martin.com,Jacob Williams,M,39
171,AKX,2019-04-09,2020-01-03,269,Tuesday,294815,EUR,3854,500002,29295,0.007707969168123327,7.601193565127141,0.05858976564093744,20-30,M,diazchristine,brian87@adams-martin.com,Jacob Williams,M,39
172,KTR,2019-09-14,2019-10-30,46,Saturday,551265,USD,46521,500000,342410,0.093042,7.3603318931235355,0.68482,25-45,M,diazchristine,brian87@adams-martin.com,Jacob Williams,M,39
173,KTR,2018-11-15,2020-09-01,656,Thursday,12167,USD,13529,500000,7025,0.027058,0.5192549338458127,0.01405,25-35,M,diazchristine,brian87@adams-martin.com,Jacob Williams,M,39
174,AKX,2019-10-07,2019-05-09,-151,Monday,36058,EUR,18851,499998,31230,0.03770215080860324,1.6566760384064505,0.06246024984099936,25-45,M,diazchristine,brian87@adams-martin.com,Jacob Williams,M,39
175,BYU,2019-01-13,2020-11-30,687,Sunday,371354,EUR,12441,499999,54983,0.024882049764099527,4.419500040189695,0.10996621993243987,30-45,F,diazchristine,brian87@adams-martin.com,Jacob Williams,M,39
176,BYU,2019-08-08,2020-11-18,468,Thursday,678643,EUR,23026,499996,37920,0.04605236841894735,1.6468340137236168,0.07584060672485379,20-40,M,emily72,kharper@bird-collins.com,Raymond Wilson,M,19
177,AKX,2018-10-12,2019-11-01,385,Friday,354223,USD,19300,500001,271747,0.0385999228001544,14.080155440414508,0.543492913014174,30-40,B,emily72,kharper@bird-collins.com,Raymond Wilson,M,19
178,GRZ,2019-02-21,2020-07-14,509,Thursday,393716,GBP,16496,499998,198416,0.03299213196852788,12.028128031037827,0.3968335873343493,40-55,F,emily72,kharper@bird-collins.com,Raymond Wilson,M,19
179,GRZ,2019-03-04,2020-11-13,620,Monday,383916,EUR,23515,499999,224955,0.04703009406018812,9.566446948756113,0.44991089982179966,45-50,B,emily72,kharper@bird-collins.com,Raymond Wilson,M,19
180,BYU,2018-08-09,2019-08-06,362,Thursday,389736,USD,11534,499997,335906,0.023068138408830454,29.123114270851396,0.6718160308961854,35-40,F,emily72,kharper@bird-collins.com,Raymond Wilson,M,19
181,KTR,2018-12-20,2019-03-14,84,Thursday,39549,USD,59192,499999,1076,0.11838423676847354,0.01817813218002433,0.002152004304008608,20-30,B,emily72,kharper@bird-collins.com,Raymond Wilson,M,19
182,GRZ,2019-10-11,2020-09-08,333,Friday,498636,EUR,25072,500001,422131,0.050143899712200575,16.83675015954052,0.8442603114793771,40-45,B,samantha56,rlewis@fernandez.com,Jonathan Flores,M,67
183,KTR,2019-03-19,2020-12-28,650,Tuesday,273908,GBP,35605,499997,55513,0.07121042726256357,1.5591349529560454,0.11102666615999696,35-55,M,samantha56,rlewis@fernandez.com,Jonathan Flores,M,67
184,BYU,2018-05-06,2018-07-25,80,Sunday,220562,EUR,56670,499995,172247,0.11334113341133412,3.039474148579495,0.34449744497444973,40-55,F,samantha56,rlewis@fernandez.com,Jonathan Flores,M,67
185,KTR,2019-08-08,2019-10-08,61,Thursday,429161,USD,82595,499998,117782,0.16519066076264305,1.4260185241237362,0.23556494225976904,20-40,B,samantha56,rlewis@fernandez.com,Jonathan Flores,M,67
186,KTR,2018-12-06,2018-05-08,-212,Thursday,928041,EUR,29591,500002,437478,0.059181763272946906,14.784157345138725,0.8749525001899993,25-40,F,samantha56,rlewis@fernandez.com,Jonathan Flores,M,67
187,AKX,2019-11-07,2020-12-12,401,Thursday,377192,USD,23005,500000,8748,0.04601,0.3802651597478809,0.017496,20-40,B,samantha56,rlewis@fernandez.com,Jonathan Flores,M,67
188,AKX,2019-12-31,2020-08-26,239,Tuesday,16356,EUR,47677,500002,8095,0.09535361858552566,0.16978836755668353,0.016189935240259037,25-40,F,fjordan,soniamyers@yahoo.com,Ashley Snyder,F,82
189,KTR,2018-04-26,2018-12-06,224,Thursday,951797,GBP,15244,500002,55721,0.030487878048487807,3.65527420624508,0.11144155423378306,35-40,M,fjordan,soniamyers@yahoo.com,Ashley Snyder,F,82
190,AKX,2019-11-29,2021-02-24,453,Friday,673706,EUR,71562,500000,360486,0.143124,5.037394147732036,0.720972,30-35,F,owatson,thomasmarco@sanchez.com,Margaret Hancock,F,79
191,KTR,2019-08-26,2020-02-22,180,Monday,405015,GBP,53606,500001,47207,0.10721178557642885,0.8806290340633511,0.09441381117237765,25-35,B,owatson,thomasmarco@sanchez.com,Margaret Hancock,F,79
192,AKX,2018-07-21,2020-07-01,711,Saturday,869528,GBP,34794,500004,818528,0.06958744330045359,23.52497557050066,1.6370429036567709,40-45,F,owatson,thomasmarco@sanchez.com,Margaret Hancock,F,79
193,AKX,2018-03-18,2019-07-15,484,Sunday,10952,GBP,46608,500002,5643,0.09321562713749144,0.12107363542739444,0.011285954856180575,35-45,F,owatson,thomasmarco@sanchez.com,Margaret Hancock,F,79
194,AKX,2019-06-21,2021-04-16,665,Friday,115652,EUR,44841,499999,114949,0.08968217936435872,2.563479851029192,0.22989845979691959,25-45,M,owatson,thomasmarco@sanchez.com,Margaret Hancock,F,79
195,KTR,2019-07-28,2020-06-13,321,Sunday,564976,USD,30497,499996,128042,0.06099448795590365,4.198511328983178,0.2560860486883895,25-35,M,william68,joseyork@yahoo.com,Alicia Mitchell,F,33
196,BYU,2019-02-15,2020-07-01,502,Friday,646448,USD,52565,500000,134754,0.10513,2.5635689146770666,0.269508,20-40,F,william68,joseyork@yahoo.com,Alicia Mitchell,F,33
197,KTR,2019-09-03,2019-11-09,67,Tuesday,695852,USD,58356,500003,277558,0.11671129973220161,4.756288984851601,0.5551126693239841,35-40,B,william68,joseyork@yahoo.com,Alicia Mitchell,F,33
198,BYU,2018-03-17,2018-04-29,43,Saturday,861211,USD,4584,499999,504829,0.009168018336036672,110.12849040139616,1.0096600193200387,25-45,B,heatherarias,cookelizabeth@hotmail.com,Mrs. Rebecca Williams,F,29
199,KTR,2018-06-26,2019-12-24,546,Tuesday,159094,USD,61832,500002,71529,0.12366350534597861,1.1568281795833872,0.14305742777028893,30-40,B,heatherarias,cookelizabeth@hotmail.com,Mrs. Rebecca Williams,F,29
200,GRZ,2019-06-15,2019-08-27,73,Saturday,547614,USD,88739,500000,279319,0.177478,3.147646468858112,0.558638,40-50,B,jordanlaura,soliver@gmail.com,Ashley Martin,F,38
201,KTR,2018-12-31,2020-09-09,618,Monday,80670,GBP,43993,500000,57906,0.087986,1.316254858727525,0.115812,25-40,B,jordanlaura,soliver@gmail.com,Ashley Martin,F,38
202,GRZ,2018-10-04,2019-03-11,158,Thursday,394853,EUR,22300,499999,210749,0.0446000892001784,9.450627802690583,0.421498842997686,30-40,B,jordanlaura,soliver@gmail.com,Ashley Martin,F,38
203,KTR,2018-07-23,2019-01-24,185,Monday,498109,GBP,4442,500001,6937,0.008883982232035535,1.5616839261593876,0.013873972252055496,20-25,F,jordanlaura,soliver@gmail.com,Ashley Martin,F,38
204,GRZ,2018-10-23,2019-11-12,385,Tuesday,328620,USD,41754,499999,265500,0.08350816701633404,6.358672223020549,0.531001062002124,35-40,F,jordanlaura,soliver@gmail.com,Ashley Martin,F,38
205,GRZ,2018-08-24,2019-03-27,215,Friday,964427,USD,35122,499998,770640,0.0702442809771239,21.94180285860714,1.5412861651446605,20-35,M,njohnson,scott76@suarez.com,Tiffany Moore,F,64
206,GRZ,2018-08-14,2019-10-03,415,Tuesday,681038,USD,12176,500002,314329,0.024351902592389632,25.815456636005255,0.6286554853780585,25-35,M,njohnson,scott76@suarez.com,Tiffany Moore,F,64
207,AKX,2018-03-31,2018-09-28,181,Saturday,17065,USD,20212,499998,7980,0.04042416169664679,0.3948149614090639,0.015960063840255362,25-30,M,njohnson,scott76@suarez.com,Tiffany Moore,F,64
208,GRZ,2018-07-04,2019-08-09,401,Wednesday,145585,GBP,56678,500000,118340,0.113356,2.0879353541056496,0.23668,25-30,F,thomas79,ypatterson@yahoo.com,Rachel Wright,F,88
209,AKX,2018-09-20,2019-06-11,264,Thursday,538044,GBP,58890,499999,111218,0.11778023556047112,1.8885719137374766,0.22243644487288974,20-40,F,thomas79,ypatterson@yahoo.com,Rachel Wright,F,88
210,BYU,2019-09-18,2020-07-30,316,Wednesday,520177,EUR,24673,499998,342694,0.04934619738478954,13.889433794025859,0.6853907415629662,25-35,M,thomas79,ypatterson@yahoo.com,Rachel Wright,F,88
211,KTR,2018-07-09,2019-01-30,205,Monday,403790,GBP,52045,499996,79086,0.10409083272666181,1.5195696032279757,0.15817326538612309,35-60,M,thomas79,ypatterson@yahoo.com,Rachel Wright,F,88
212,KTR,2019-02-05,2020-07-18,529,Tuesday,951079,USD,28534,500000,369127,0.057068,12.93639167309175,0.738254,25-40,M,thomas79,ypatterson@yahoo.com,Rachel Wright,F,88
213,AKX,2018-11-14,2019-11-05,356,Wednesday,631043,USD,12552,499994,434652,0.02510430125161502,34.62810707456979,0.8693144317731812,20-30,B,thomas79,ypatterson@yahoo.com,Rachel Wright,F,88
214,GRZ,2018-11-12,2019-09-13,305,Monday,974347,EUR,17604,499997,795941,0.0352082112492675,45.21364462622131,1.5918915513493082,20-40,M,thomas79,ypatterson@yahoo.com,Rachel Wright,F,88
215,AKX,2019-01-10,2020-11-05,665,Thursday,697959,EUR,27569,500002,382972,0.05513777944888221,13.891399760600674,0.765940936236255,20-40,B,thomas79,ypatterson@yahoo.com,Rachel Wright,F,88
216,AKX,2019-02-06,2019-08-18,193,Wednesday,862891,USD,14766,500004,494883,0.029531763745890033,33.51503453880537,0.9897580819353445,25-45,F,pmcfarland,jennifer65@garcia.com,Eric Brown,M,38
217,AKX,2019-06-09,2021-01-19,590,Sunday,502047,USD,26159,499997,142038,0.05231831390988346,5.42979471692343,0.2840777044662268,40-50,B,pmcfarland,jennifer65@garcia.com,Eric Brown,M,38
218,GRZ,2018-06-30,2020-03-14,623,Saturday,659554,GBP,22565,499997,497527,0.04513027078162469,22.048615111898958,0.9950599703598222,25-30,M,pmcfarland,jennifer65@garcia.com,Eric Brown,M,38
219,KTR,2020-08-02,2020-07-28,-5,Sunday,681713,USD,15595,500000,490273,0.03119,31.43783263866624,0.980546,20-40,B,pmcfarland,jennifer65@garcia.com,Eric Brown,M,38
220,AKX,2019-01-08,2019-09-30,265,Tuesday,149361,USD,30983,500001,135455,0.06196587606824786,4.371913630055191,0.27090945818108364,30-40,B,amber69,georgejohnson@rodriguez.com,Whitney Peterson,F,88
221,KTR,2018-07-12,2019-05-05,297,Thursday,881928,USD,75576,500000,58120,0.151152,0.7690272044035144,0.11624,45-50,F,amber69,georgejohnson@rodriguez.com,Whitney Peterson,F,88
222,GRZ,2018-08-22,2019-05-08,259,Wednesday,987751,EUR,42467,499999,458948,0.08493416986833974,10.807167918619163,0.9178978357956716,25-35,M,amber69,georgejohnson@rodriguez.com,Whitney Peterson,F,88
223,BYU,2019-02-26,2020-09-08,560,Tuesday,581367,EUR,83013,500001,444195,0.1660256679486641,5.35090889378772,0.8883882232235536,35-40,B,amber69,georgejohnson@rodriguez.com,Whitney Peterson,F,88
224,AKX,2020-01-29,2021-08-02,551,Wednesday,577106,USD,12175,499999,220064,0.0243500487000974,18.075071868583162,0.44012888025776054,40-55,B,amber69,georgejohnson@rodriguez.com,Whitney Peterson,F,88
225,GRZ,2019-10-02,2020-12-26,451,Wednesday,6930,GBP,46021,500001,164,0.09204181591636816,0.003563590534755872,0.000327999344001312,40-45,B,beckchristine,fletcherjames@jones-conner.com,Patrick Levine,M,30
226,AKX,2018-06-26,2018-11-25,152,Tuesday,481079,GBP,16073,499999,278331,0.03214606429212859,17.316680146830087,0.5566631133262266,30-45,F,beckchristine,fletcherjames@jones-conner.com,Patrick Levine,M,30
227,GRZ,2019-06-01,2019-10-16,137,Saturday,947108,EUR,14663,500001,749271,0.029325941348117304,51.09943394939644,1.498539002921994,30-40,M,beckchristine,fletcherjames@jones-conner.com,Patrick Levine,M,30
228,BYU,2019-10-23,2021-08-28,675,Wednesday,290881,USD,26377,499998,50455,0.05275421101684407,1.9128407324563066,0.10091040364161456,40-55,F,beckchristine,fletcherjames@jones-conner.com,Patrick Levine,M,30
229,GRZ,2019-02-12,2020-01-21,343,Tuesday,78639,GBP,16221,499998,3102,0.032442129768519075,0.19123358609210284,0.006204024816099264,25-35,M,beckchristine,fletcherjames@jones-conner.com,Patrick Levine,M,30
230,BYU,2018-06-11,2019-11-27,534,Monday,896621,EUR,16182,500001,38821,0.032363935272129454,2.3990236064763315,0.07764184471631057,35-45,F,beckchristine,fletcherjames@jones-conner.com,Patrick Levine,M,30
231,AKX,2018-09-18,2019-11-22,430,Tuesday,339966,USD,30584,499999,297964,0.06116812233624467,9.742479727962333,0.5959291918583837,40-50,B,beckchristine,fletcherjames@jones-conner.com,Patrick Levine,M,30
232,KTR,2019-01-10,2020-06-27,534,Thursday,380859,EUR,45780,499999,190205,0.09156018312036623,4.154761904761905,0.38041076082152164,25-40,M,beckchristine,fletcherjames@jones-conner.com,Patrick Levine,M,30
233,GRZ,2019-11-20,2021-06-06,564,Wednesday,222649,EUR,79938,500000,125641,0.159876,1.5717305912081863,0.251282,35-40,F,cathywolf,teresa07@grimes.com,Mark Torres,M,62
234,GRZ,2018-10-10,2020-10-04,725,Wednesday,662608,USD,24888,499998,14930,0.04977619910479642,0.5998874959819993,0.029860119440477763,20-25,B,cathywolf,teresa07@grimes.com,Mark Torres,M,62
235,KTR,2018-10-18,2020-08-27,679,Thursday,933307,GBP,18267,499998,338542,0.036534146136584546,18.532982974763236,0.6770867083468334,30-35,M,cathywolf,teresa07@grimes.com,Mark Torres,M,62
236,KTR,2018-12-06,2020-02-21,442,Thursday,480586,GBP,77309,500004,139587,0.15461676306589547,1.805572443053202,0.279171766625867,25-30,B,cathywolf,teresa07@grimes.com,Mark Torres,M,62
237,GRZ,2018-10-10,2019-12-19,435,Wednesday,265912,USD,20254,500002,155949,0.040507837968648125,7.699664263849116,0.31189675241299036,25-35,B,matthewwright,collinsjessica@lee-sullivan.com,Jeremy Bryant,M,81
238,BYU,2019-04-20,2020-09-22,521,Saturday,389372,GBP,45230,499999,56229,0.09046018092036184,1.2431793057705063,0.11245822491644983,30-45,M,matthewwright,collinsjessica@lee-sullivan.com,Jeremy Bryant,M,81
239,GRZ,2019-08-17,2021-04-06,598,Saturday,276914,GBP,3617,499999,237107,0.007234014468028936,65.55349737351396,0.47421494842989687,35-55,M,matthewwright,collinsjessica@lee-sullivan.com,Jeremy Bryant,M,81
240,GRZ,2020-02-01,2020-08-10,191,Saturday,225680,USD,47079,500001,17703,0.09415781168437663,0.3760275281972854,0.03540592918814162,25-35,B,matthewwright,collinsjessica@lee-sullivan.com,Jeremy Bryant,M,81
241,AKX,2018-05-16,2019-10-20,522,Wednesday,920505,USD,50193,500002,53794,0.10038559845760617,1.0717430717430718,0.1075875696497214,35-55,F,matthewwright,collinsjessica@lee-sullivan.com,Jeremy Bryant,M,81
242,AKX,2019-03-26,2020-06-04,436,Tuesday,170538,GBP,95271,499998,66881,0.19054276217104868,0.7020079562511152,0.1337625350501402,40-45,M,matthewwright,collinsjessica@lee-sullivan.com,Jeremy Bryant,M,81
243,BYU,2020-12-02,2021-08-03,244,Wednesday,822278,USD,25217,500000,257568,0.050434,10.214061942340484,0.515136,45-55,B,matthewwright,collinsjessica@lee-sullivan.com,Jeremy Bryant,M,81
244,KTR,2019-03-17,2019-08-17,153,Sunday,506890,EUR,52531,499999,295650,0.10506221012442025,5.628105309245969,0.5913011826023652,35-40,F,matthewwright,collinsjessica@lee-sullivan.com,Jeremy Bryant,M,81
245,BYU,2019-03-02,2020-12-02,641,Saturday,229225,GBP,39928,499998,219252,0.0798563194252777,5.491184131436586,0.4385057540230161,30-50,M,ywu,kristinhill@yahoo.com,Ethan Romero,M,62
246,KTR,2019-04-29,2020-06-24,422,Monday,136281,EUR,9130,499999,121913,0.01826003652007304,13.35301204819277,0.2438264876529753,40-50,B,ywu,kristinhill@yahoo.com,Ethan Romero,M,62
247,KTR,2018-05-25,2018-02-09,-105,Friday,869217,GBP,58333,499998,695153,0.11666646666586666,11.916976668438105,1.3903115612462449,25-40,M,ywu,kristinhill@yahoo.com,Ethan Romero,M,62
248,BYU,2019-01-29,2020-12-30,701,Tuesday,790171,EUR,23806,500000,56992,0.047612,2.394018314710577,0.113984,40-65,B,vpowell,bradysteven@hotmail.com,Melinda King,F,82
249,BYU,2018-09-30,2019-10-27,392,Sunday,563650,EUR,64976,499997,137520,0.1299527797166783,2.116473774932283,0.2750416502499015,30-35,F,vpowell,bradysteven@hotmail.com,Melinda King,F,82
250,BYU,2018-05-25,2019-01-10,230,Friday,928709,EUR,33345,500001,707340,0.06668986662026676,21.212775528565004,1.4146771706456587,25-45,M,vpowell,bradysteven@hotmail.com,Melinda King,F,82
251,AKX,2018-06-17,2020-09-02,808,Sunday,844737,GBP,54543,500002,168005,0.10908556365774537,3.0802302770291328,0.33600865596537616,20-35,B,vpowell,bradysteven@hotmail.com,Melinda King,F,82
252,KTR,2020-06-01,2020-05-07,-25,Monday,959083,USD,38738,499998,486309,0.07747630990523963,12.553797304971862,0.972621890487562,30-55,B,cmeyers,shaun60@edwards-stanley.info,Mary Diaz,F,88
253,KTR,2018-10-11,2019-04-27,198,Thursday,562644,GBP,40133,500000,383306,0.080266,9.550893279844518,0.766612,30-50,M,cmeyers,shaun60@edwards-stanley.info,Mary Diaz,F,88
254,GRZ,2018-10-16,2019-01-09,85,Tuesday,401454,USD,34056,500003,159525,0.06811159133045201,4.684196617336152,0.31904808571148574,45-55,F,cmeyers,shaun60@edwards-stanley.info,Mary Diaz,F,88
255,KTR,2018-08-23,2020-01-15,510,Thursday,900263,EUR,11363,499998,459655,0.022726090904363616,40.45190530669718,0.919313677254709,25-45,M,cmeyers,shaun60@edwards-stanley.info,Mary Diaz,F,88
256,AKX,2018-07-31,2020-04-17,626,Tuesday,583549,EUR,58235,500001,420631,0.11646976706046588,7.222993045419421,0.841260317479365,25-35,B,cmeyers,shaun60@edwards-stanley.info,Mary Diaz,F,88
257,BYU,2020-10-01,2020-12-28,88,Thursday,331691,USD,35356,499997,180687,0.07071242427454565,5.1105045819662855,0.3613761682570095,20-30,B,cmeyers,shaun60@edwards-stanley.info,Mary Diaz,F,88
258,BYU,2019-06-21,2019-12-18,180,Friday,579468,GBP,36443,500002,204716,0.07288570845716617,5.617429959114233,0.4094303622785509,25-30,M,cmeyers,shaun60@edwards-stanley.info,Mary Diaz,F,88
259,KTR,2018-07-30,2019-11-28,486,Monday,967765,EUR,12205,499998,155950,0.024410097640390562,12.777550184350677,0.31190124760499044,30-40,B,cmeyers,shaun60@edwards-stanley.info,Mary Diaz,F,88
260,AKX,2018-10-26,2019-08-13,291,Friday,169428,USD,71244,499999,118388,0.14248828497656996,1.6617258997248892,0.2367764735529471,25-50,B,qray,john53@williams.com,Alexis Rocha,F,58
261,BYU,2019-07-27,2019-12-28,154,Saturday,481111,USD,9525,499999,433224,0.0190500381000762,45.48283464566929,0.8664497328994658,20-30,M,qray,john53@williams.com,Alexis Rocha,F,58
262,AKX,2019-03-30,2020-01-05,281,Saturday,664591,GBP,65591,499998,626550,0.13118252473009892,9.55237761278224,1.2531050124200498,25-40,B,qray,john53@williams.com,Alexis Rocha,F,58
263,GRZ,2019-06-20,2019-12-22,185,Thursday,918975,EUR,65831,499998,514181,0.1316625266501066,7.810621135938995,1.028366113464454,35-50,F,qray,john53@williams.com,Alexis Rocha,F,58
264,AKX,2020-02-20,2021-09-28,586,Thursday,717501,USD,32231,499998,22348,0.0644622578490314,0.6933697372095188,0.044696178784715136,30-35,M,hhensley,timothy26@farmer.com,Jessica Jackson,F,83
265,BYU,2018-03-09,2018-09-26,201,Friday,792972,GBP,31485,500000,183359,0.06297,5.823693822455137,0.366718,30-35,M,hhensley,timothy26@farmer.com,Jessica Jackson,F,83
